1,122953,3271,-119682
2,14,517,503
3,2,6,4
1,122953,3271,-119682
2,68863,3149,-65714
3,2,6,4
4,2,6,4
5,2,6,4
1,122953,3271,-119682
2,68863,3149,-65714
3,68863,3149,-65714
4,2,6,4
5,2,6,4
1,122953,3271,-119682
2,68863,3149,-65714
3,68863,3149,-65714
4,2,6,4
5,2,6,4
1,122953,3271,-119682
2,14,517,503
3,12,496,484
4,2,6,4
5,2,6,4
1,122953,3271,-119682
2,68863,3149,-65714
3,2,6,4
4,2,6,4
5,2,6,4
1,122953,3271,-119682
2,68863,3149,-65714
3,12,496,484
4,2,6,4
5,2,6,4
1,122953,3271,-119682
2,12,500,488
3,2,6,4
4,12,496,484
5,2,6,4
1,122953,3271,-119682
2,68863,3149,-65714
3,2,6,4
4,12,496,484
5,2,6,4
1,122953,3271,-119682
2,68863,3149,-65714
3,2,6,4
4,12,496,484
5,2,6,4
1,122953,3271,-119682
2,68863,3149,-65714
3,2,6,4
4,2,6,4
5,2,6,4
1,122953,3271,-119682
2,14,517,503
3,12,496,484
4,2,6,4
5,2,6,4
